n,date,location,new_cases,new_deaths,total_cases,total_deaths,recover,total_recover,active_cases,total_from_n1,total_death_from_n,total_recovered
15,31-Jan-22,Malaysia,4774,13,2870758,31978,3232,2784005,54743,54743,13,3232
16,01-Feb-22,Malaysia,5566,7,2876324,31985,3187,2787192,57110,60309,20,6419
17,02-Feb-22,Malaysia,5736,7,2882060,31992,3196,2790388,59638,66045,27,9615
18,03-Feb-22,Malaysia,5720,8,2887780,32000,3968,2794356,61383,71765,35,13583
19,04-Feb-22,Malaysia,7234,11,2895014,32011,5254,2799610,63350,78999,46,18837
20,05-Feb-22,Malaysia,9117,14,2904131,32025,6546,2806156,65910,88116,60,25383
21,06-Feb-22,Malaysia,10089,9,2914220,32034,6460,2812616,69520,98205,69,31843
22,07-Feb-22,Malaysia,11034,9,2925254,32043,6036,2818652,74503,109239,78,37879
23,08-Feb-22,Malaysia,13944,13,2939198,32056,5421,2824073,83006,123183,91,43300
24,09-Feb-22,Malaysia,17134,9,2956332,32065,5681,2829754,94444,140317,100,48981
25,10-Feb-22,Malaysia,19090,10,2975422,32075,5712,2835466,107798,159407,110,54693
26,11-Feb-22,Malaysia,20939,24,2996361,32099,5807,2841273,122903,180346,134,60500
27,12-Feb-22,Malaysia,22802,15,3019163,32114,5442,2846715,140234,203148,149,65942
28,13-Feb-22,Malaysia,21072,11,3040235,32125,5724,2852439,155546,224220,160,71666
29,14-Feb-22,Malaysia,21315,24,3061550,32149,8517,2860956,168307,245535,184,80183
30,15-Feb-22,Malaysia,22133,31,3083683,32180,7584,2868540,182823,267668,215,87767
31,16-Feb-22,Malaysia,27831,21,3111514,32201,7912,2876452,202699,295499,236,95679
32,17-Feb-22,Malaysia,26701,39,3138215,32240,11744,2888196,217613,322200,275,107423
33,18-Feb-22,Malaysia,27808,36,3166023,32276,12488,2900684,232878,350008,311,119911
34,19-Feb-22,Malaysia,28825,34,3194848,32310,18514,2919198,243144,378833,345,138425
35,20-Feb-22,Malaysia,26832,37,3221680,32347,18459,2937657,251469,405665,382,156884
36,21-Feb-22,Malaysia,25099,43,3246779,32390,17749,2955406,258776,430764,425,174633
37,22-Feb-22,Malaysia,27179,43,3273958,32433,19037,2974443,266862,457943,468,193670
38,23-Feb-22,Malaysia,31199,55,3305157,32488,20399,2994842,277607,489142,523,214069
39,24-Feb-22,Malaysia,32070,46,3337227,32534,23332,3018174,286286,521212,569,237401
40,25-Feb-22,Malaysia,30644,57,3367871,32591,22678,3040852,294201,551856,626,260079
41,26-Feb-22,Malaysia,27299,43,3395170,32634,22710,3063562,298726,579155,669,282789
42,27-Feb-22,Malaysia,24466,39,3419636,32673,22380,3085942,300748,603621,708,305169
43,28-Feb-22,Malaysia,23100,75,3442736,32748,30624,3116566,293162,626721,783,335793
44,01-Mar-22,Malaysia,25854,78,3468590,32826,25548,3142114,293390,652575,861,361341
45,02-Mar-22,Malaysia,27500,115,3496090,32941,27557,3169671,293255,680075,976,388898
46,03-Mar-22,Malaysia,32467,86,3528557,33027,27629,3197300,298014,712542,1062,416527
47,04-Mar-22,Malaysia,33209,78,3561766,33105,26352,3223652,304794,745751,1140,442879
48,05-Mar-22,Malaysia,33406,67,3595172,33172,27143,3250795,310979,779157,1207,470022
49,06-Mar-22,Malaysia,27435,55,3622607,33227,30335,3281130,308003,806592,1262,500357
50,07-Mar-22,Malaysia,26856,77,3649463,33304,30726,3311856,304056,833448,1339,531083
