n,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
1,MYS,Asia,Malaysia,01-04-21,346678,1178,1215.714,1278,6,4.286,10711.179,36.396,37.561,39.486,0.185,0.132,1,,,,,,,,,55437,7711350,238.255,1.713,48394,1.495,0.025,39.8,people tested,740226,498468,241758,42023,29078,2.29,1.54,0.75,898,68.06,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
2,MYS,Asia,Malaysia,02-04-21,347972,1294,1218.429,1283,5,4.857,10751.159,39.98,37.645,39.64,0.154,0.15,1.01,,,,,,,,,53187,7764537,239.898,1.643,48094,1.486,0.025,39.5,people tested,770653,506069,264584,30427,31301,2.38,1.56,0.82,967,68.06,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
3,MYS,Asia,Malaysia,03-04-21,349610,1638,1281.143,1286,3,5,10801.768,50.609,39.583,39.733,0.093,0.154,1.03,,,,,,,,,50237,7814774,241.45,1.552,48048,1.485,0.027,37.5,people tested,787504,508481,279023,16851,31615,2.43,1.57,0.86,977,68.06,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
4,MYS,Asia,Malaysia,04-04-21,350959,1349,1287.857,1288,2,4.714,10843.447,41.68,39.79,39.795,0.062,0.146,1.04,,,,,,,,,45236,7860010,242.848,1.398,48375,1.495,0.027,37.6,people tested,801773,514036,287737,14269,31573,2.48,1.59,0.89,975,68.06,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
5,MYS,Asia,Malaysia,05-04-21,352029,1070,1306.286,1295,7,5,10876.507,33.059,40.36,40.011,0.216,0.154,1.05,,,,,,,,,34512,7894522,243.914,1.066,48400,1.495,0.027,37.1,people tested,830036,523233,306803,28263,29803,2.56,1.62,0.95,921,64.35,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
6,MYS,Asia,Malaysia,06-04-21,353329,1300,1330.143,1300,5,5,10916.672,40.166,41.097,40.166,0.154,0.154,1.06,,,,,,,,,46839,7941361,245.361,1.447,48320,1.493,0.028,36.3,people tested,862445,534191,328254,32409,28683,2.66,1.65,1.01,886,56.94,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
7,MYS,Asia,Malaysia,07-04-21,354468,1139,1281.143,1304,4,4.571,10951.864,35.191,39.583,40.289,0.124,0.141,1.07,,,,,,,,,51214,7992575,246.944,1.582,48095,1.486,0.027,37.5,people tested,893032,546762,346270,30587,27833,2.76,1.69,1.07,860,56.94,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
8,MYS,Asia,Malaysia,08-04-21,355753,1285,1296.429,1308,4,4.286,10991.566,39.702,40.055,40.413,0.124,0.132,1.09,,,,,,,,,58012,8050587,248.736,1.792,48462,1.497,0.027,37.4,people tested,919721,558750,360971,26689,25642,2.84,1.73,1.12,792,56.94,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
9,MYS,Asia,Malaysia,09-04-21,357607,1854,1376.429,1313,5,4.286,11048.848,57.282,42.527,40.567,0.154,0.132,1.12,,,,,,,,,53834,8104421,250.399,1.663,48555,1.5,0.028,35.3,people tested,941200,565940,375260,21479,24364,2.91,1.75,1.16,753,56.94,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
10,MYS,Asia,Malaysia,10-04-21,359117,1510,1358.143,1321,8,5,11095.502,46.654,41.962,40.814,0.247,0.154,1.13,,,,,,,,,53512,8157933,252.053,1.653,49023,1.515,0.028,36.1,people tested,956723,571472,385251,15523,24174,2.96,1.77,1.19,747,56.94,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
